Size(Bytes),Time(Ticks)
64,154
64,118
64,60
64,66
64,64
64,60
64,64
64,58
64,58
64,58
64,56
64,60
64,58
64,58
64,60
64,64
64,64
64,66
64,64
64,66
64,64
64,60
64,58
64,58
64,56
64,64
64,60
64,56
64,64
64,58
64,56
64,54
64,64
64,64
64,60
64,60
64,60
64,64
64,66
64,58
64,60
64,60
64,60
64,64
64,64
64,60
64,58
64,60
64,60
64,60
64,64
64,66
64,60
64,64
64,56
64,60
64,60
64,58
64,60
64,60
64,58
64,58
64,68
64,64
64,64
64,64
64,58
64,60
64,64
64,58
64,64
64,64
64,60
64,60
64,56
64,64
64,58
64,62
64,64
64,60
64,68
64,58
64,58
64,64
64,56
64,64
64,66
64,58
64,60
64,56
64,58
64,64
64,64
64,66
64,60
64,64
64,64
64,58
64,64
64,54
64,58
64,64
64,64
64,64
64,60
64,60
64,64
64,58
64,58
64,60
64,58
64,60
64,60
64,60
64,58
64,66
64,60
64,58
64,56
64,60
64,64
64,64
64,58
64,56
64,64
64,60
64,58
64,64
64,58
64,60
64,60
64,60
64,60
64,60
64,66
64,58
64,64
64,58
64,56
64,58
64,64
64,58
64,60
64,58
64,58
64,60
64,60
64,64
64,60
64,64
64,56
64,64
64,58
64,64
64,64
64,56
64,64
64,56
64,58
64,64
64,60
64,60
64,64
64,58
64,58
64,58
64,58
64,60
64,60
64,60
64,66
64,60
64,64
64,64
64,66
64,56
64,64
64,58
64,58
64,64
64,60
64,60
64,60
64,64
64,64
64,58
64,60
64,60
64,60
64,58
64,56
64,60
64,60
64,58
64,58
64,54
64,60
64,64
64,58
64,58
64,58
64,58
64,56
64,64
64,52
64,60
64,60
64,60
64,58
64,68
64,56
64,60
64,64
64,66
64,58
64,56
64,58
64,60
64,60
64,60
64,64
64,64
64,58
64,60
64,58
64,58
64,58
64,64
64,60
64,66
64,56
64,60
64,56
64,64
64,56
64,64
64,60
64,64
64,60
64,66
64,58
64,58
64,56
64,56
64,58
64,58
64,60
64,64
64,58
64,64
64,64
64,60
64,64
64,64
64,68
64,58
64,58
64,64
64,56
64,60
64,56
64,56
64,58
64,58
64,64
64,60
64,60
64,60
64,56
64,64
64,64
64,54
64,58
64,64
64,60
64,60
64,60
64,64
64,60
64,64
64,66
64,60
64,60
64,58
64,66
64,58
64,60
64,58
64,64
64,60
64,58
64,60
64,60
64,58
64,58
64,58
64,60
64,64
64,60
64,60
64,58
64,66
64,60
64,64
64,60
64,60
64,60
64,64
64,58
64,60
64,60
64,66
64,64
64,64
64,58
64,64
64,58
64,60
64,64
64,64
64,60
64,60
64,58
64,58
64,58
64,60
64,58
64,64
64,64
64,70
64,60
64,66
64,64
64,64
64,72
64,66
64,58
64,64
64,60
64,60
64,64
64,60
64,60
64,58
64,64
64,60
64,58
64,56
64,60
64,56
64,60
64,64
64,64
64,60
64,60
64,60
64,58
64,58
64,64
64,60
64,60
64,58
64,64
64,66
64,60
64,58
64,56
64,64
64,58
64,62
64,60
64,58
64,64
64,64
64,58
64,58
64,58
64,60
64,66
64,58
64,60
64,60
64,58
64,58
64,60
64,56
64,60
64,60
64,58
64,64
64,66
64,58
64,64
64,64
64,64
64,58
64,70
64,58
64,64
64,58
64,58
64,68
64,64
64,56
64,60
64,64
64,58
