Size(Bytes),Time(Ticks)
64,336
64,366
64,286
64,282
64,294
64,344
64,278
64,370
64,282
64,294
64,282
64,286
64,440
64,290
64,294
64,282
64,298
64,282
64,292
64,688
64,284
64,294
64,286
64,290
64,282
64,286
64,684
64,286
64,294
64,290
64,290
64,286
64,290
64,684
64,286
64,286
64,282
64,294
64,284
64,282
64,610
64,290
64,290
64,286
64,292
64,282
64,290
64,290
64,286
64,290
64,278
64,294
64,358
64,286
64,294
64,290
64,286
64,278
64,286
64,688
64,286
64,346
64,286
64,318
64,274
64,286
64,500
64,286
64,290
64,286
64,290
64,284
64,294
64,694
64,286
64,290
64,282
64,286
64,282
64,286
64,682
64,290
64,286
64,282
64,294
64,286
64,290
64,688
64,286
64,286
64,278
64,284
64,286
64,296
64,690
64,290
64,290
64,284
64,294
64,274
64,286
64,612
64,290
64,284
64,282
64,286
64,272
64,294
64,680
64,294
64,298
64,282
64,284
64,278
64,286
64,684
64,286
64,374
64,284
64,324
64,286
64,290
64,496
64,286
64,296
64,278
64,290
64,282
64,290
64,294
64,290
64,282
64,286
64,290
64,358
64,294
64,294
64,278
64,294
64,284
64,290
64,290
64,282
64,290
64,278
64,286
64,366
64,300
64,292
64,284
64,286
64,282
64,286
64,290
64,286
64,292
64,282
64,294
64,380
64,290
64,292
64,282
64,294
64,278
64,292
64,286
64,286
64,290
64,278
64,286
64,290
64,282
64,292
64,282
64,286
64,386
64,294
64,286
64,282
64,286
64,286
64,282
64,294
64,282
64,286
64,282
64,290
64,362
64,294
64,286
64,282
64,290
64,286
64,278
64,292
64,278
64,294
64,282
64,290
64,352
64,290
64,286
64,290
64,298
64,286
64,294
64,688
64,290
64,344
64,284
64,318
64,282
64,290
64,530
64,294
64,286
64,282
64,290
64,286
64,292
64,286
64,278
64,292
64,282
64,286
64,394
64,290
64,290
64,278
64,290
64,284
64,290
64,286
64,282
64,290
64,282
64,294
64,362
64,292
64,290
64,278
64,290
64,282
64,292
64,290
64,288
64,290
64,286
64,286
64,352
64,294
64,286
64,290
64,286
64,282
64,286
64,286
64,282
64,290
64,282
64,286
64,366
64,290
64,290
64,282
64,294
64,282
64,286
64,294
64,282
64,294
64,274
64,292
64,310
64,510
64,278
64,286
64,290
64,284
64,286
64,436
64,290
64,294
64,278
64,294
64,282
64,278
64,688
64,286
64,286
64,286
64,286
64,286
64,286
64,610
64,290
64,290
64,286
64,294
64,276
64,292
64,290
64,282
64,292
64,286
64,286
64,378
64,286
64,286
64,296
64,294
64,282
64,290
64,688
64,296
64,286
64,282
64,294
64,278
64,294
64,614
64,298
64,286
64,282
64,294
64,282
64,290
64,292
64,282
64,286
64,286
64,290
64,374
64,294
64,286
64,286
64,294
64,286
64,294
64,682
64,286
64,292
64,292
64,286
64,286
64,282
64,688
64,290
64,294
64,286
64,294
64,282
64,292
64,286
64,286
64,294
64,292
64,290
64,386
64,286
64,290
64,284
64,286
64,286
64,286
64,290
64,284
64,286
64,282
64,290
64,320
64,282
64,292
64,284
64,286
64,278
64,294
64,686
64,294
64,356
64,282
64,290
64,278
64,290
64,528
64,282
64,294
64,286
64,292
64,282
64,290
64,682
64,286
64,294
64,284
64,290
64,280
64,290
64,688
64,290
64,354
64,286
64,312
64,282
64,292
64,516
64,286
64,292
64,286
64,286
64,278
64,286
64,294
64,278
64,282
64,284
64,292
64,378
64,286
64,292
64,290
64,286
64,282
64,286
64,624
64,290
64,286
64,284
64,290
64,286
64,290
64,696
64,302
64,292
64,286
64,294
64,286
64,294
64,682
64,286
64,286
64,286
64,294
64,292
64,292
64,690
64,286
64,284
64,282
64,294
64,276
64,298
64,688
64,294
64,292
64,284
64,280
64,282
64,290
64,286
64,282
64,292
64,282
64,292
64,386
64,286
64,286
64,280
64,300
64,286
64,282
64,286
64,282
64,294
64,278
64,284
64,404
64,286
64,294
64,282
64,286
64,284
64,290
64,286
64,278
64,290
64,282
64,286
64,328
64,304
64,286
64,284
64,290
64,284
64,290
64,278
64,286
64,292
64,278
64,294
64,406
64,302
64,290
64,282
64,292
64,282
64,286
64,286
64,288
64,294
64,280
64,286
64,352
64,292
64,286
64,282
64,286
64,286
64,294
64,286
64,282
64,294
64,284
64,282
64,362
64,294
64,290
64,278
64,286
64,278
64,292
64,290
64,282
64,286
64,282
64,286
64,416
64,294
64,282
64,286
64,286
64,286
64,284
64,290
64,286
64,294
64,286
64,290
64,432
64,284
64,294
64,286
64,290
64,282
64,290
64,290
64,282
64,286
64,282
64,290
64,402
64,290
64,290
64,284
64,302
64,284
64,292
64,288
64,282
64,290
64,284
64,290
64,412
64,292
64,286
64,284
64,286
64,286
64,298
64,290
64,282
64,290
64,316
64,282
64,278
64,282
64,286
64,562
64,294
64,358
64,286
64,286
64,278
64,286
64,338
64,286
64,292
64,280
64,290
64,292
64,292
64,682
64,282
64,292
64,282
64,290
64,278
64,290
64,688
64,294
64,290
64,286
64,304
64,286
64,294
64,612
64,290
64,286
64,278
64,290
64,284
64,296
64,690
64,286
64,286
64,286
64,286
64,278
64,286
64,604
64,294
64,286
64,286
64,286
64,286
64,282
64,688
64,290
64,290
64,284
64,286
64,282
64,294
64,604
64,286
64,290
64,284
64,294
64,282
64,286
64,282
64,284
64,286
64,286
64,294
64,382
64,286
64,294
64,286
64,286
64,282
64,292
64,690
64,300
64,298
64,284
64,290
64,278
64,294
64,688
64,290
64,290
64,286
64,290
64,282
64,286
64,688
64,286
64,376
64,290
64,318
64,282
64,284
64,470
64,294
64,284
64,286
64,286
64,286
64,286
64,294
64,282
64,292
64,278
64,290
64,440
64,290
64,290
64,284
64,292
64,286
64,286
64,286
64,282
64,286
64,282
64,286
64,378
64,292
64,294
64,284
64,286
64,286
64,290
64,688
64,294
64,298
64,276
64,286
64,286
64,286
64,598
64,294
64,284
64,282
64,294
64,286
64,294
64,294
64,284
64,290
64,286
64,290
64,374
64,302
64,294
64,274
64,290
64,286
64,290
64,284
64,286
64,292
64,278
64,292
64,336
64,292
64,294
64,286
64,286
64,286
64,286
64,290
64,294
64,290
64,290
64,294
64,362
64,286
64,284
64,286
64,294
64,290
64,294
64,290
64,286
64,290
64,282
64,292
64,348
64,286
64,290
64,282
64,282
64,286
64,286
64,290
64,286
64,286
64,282
64,286
64,366
64,286
64,286
64,284
64,290
64,282
64,292
64,686
64,290
64,290
64,286
64,294
64,286
64,290
64,290
64,286
64,290
64,286
64,290
64,370
64,280
64,290
64,282
64,290
64,290
64,286
64,682
64,292
64,370
64,276
64,282
64,282
64,292
64,496
64,294
64,286
64,282
64,286
64,284
64,278
64,286
64,282
64,282
64,282
64,294
64,394
64,292
64,286
64,286
64,290
64,282
64,296
64,292
64,286
64,290
64,284
64,290
64,380
64,286
64,286
64,286
64,294
64,284
64,278
64,290
64,286
64,294
64,286
64,282
64,344
64,286
64,294
64,282
64,282
64,282
64,286
64,286
64,284
64,286
64,280
64,356
64,412
64,294
64,362
64,278
64,306
64,282
64,290
64,520
64,292
64,286
64,290
64,290
64,282
64,284
64,686
64,294
64,294
64,286
64,290
64,284
64,290
64,688
64,282
64,286
64,282
64,290
64,284
64,286
64,686
64,286
64,292
64,282
64,286
64,286
64,292
64,688
64,286
64,290
64,282
64,286
64,286
64,302
64,688
64,290
64,294
64,284
64,286
64,286
64,294
64,592
64,294
64,286
64,282
64,286
64,286
64,294
64,290
64,284
64,294
64,292
64,290
64,374
64,294
64,290
64,284
64,290
64,282
64,286
64,290
64,282
64,290
64,284
64,290
64,420
64,292
64,286
64,286
64,280
